l2C	N4C	N8C	N16C	eB	category
Alg13	0.0249406079649599	0.278679729397831	0.203790310436013	0.343159559613547	0.277194559221571	Constitutive
Amot	0.76272577996716	0.2375	0.243476976552104	0.185509839895105	0.124611883500515	Constitutive
Sat1	0.22972972972973	0.207207207207207	0.324643687028294	0.227250445632799	0.161930772308923	Constitutive
Zrsr2	0.152525676937442	0.0975804114749348	0.185982905982906	0.279917711598746	0.1875	Constitutive
Otud5	0.163001046646488	0.345679012345679	0.461111111111111	0.404082985979538	0.38781580493537	Escapee
Rbm3	0.377777777777778	0.251946778711485	0.352597402597403	0.583333333333333	0.374331550802139	Escapee
Bcor	1	0.545454545454545	0.238636363636364	0.583333333333333	0.401058201058201	Escapee
Atp6ap2	0.666666666666667	0.142857142857143	0.354755244755245	0.624490740740741	0.392795337489835	Escapee
Med14	0.556208703577124	0.44184207526891	0.743880310302724	0.504970760233918	0.520119047619047	Escapee
Kdm6a	0.168192873263524	0.253656587329986	0.496065044978088	0.578116710875332	0.493644590703414	Escapee
Uba1	0.343378491753946	0.448013656425513	0.585577757651849	0.469928482873116	0.381338560110304	Escapee
Nkap	0.230769230769231	0.166666666666667	0.659974937343358	0.313885778275476	0.473784461152882	Escapee
Slc6a8	NA	0.493781176916953	0.561717767197982	0.476239538239538	0.380983420757691	Escapee
Idh3g	0.619987247894225	0.677788220551379	0.556613756613757	0.37526911169326	0.374863944678186	Escapee
Renbp	NA	0.645833333333333	0.546349206349206	0.309740191804708	0.402166028097063	Escapee
Fam50a	0.296218487394958	0.444444444444444	0.622051282051282	0.611607142857143	0.466666666666666	Escapee
Dkc1	0.576854254911082	0.509582843195236	0.387575125369526	0.393291690192256	0.351772145737728	Escapee
Ogt	0.411295161079953	0.407070707070707	0.221590909090909	0.472781734394638	0.500036231884058	Escapee
Ercc6l	0.592097721400047	0.476450972044842	0.478239716939407	0.430588235294118	0.450292397660819	Escapee
Pbdc1	0.164634146341464	0.383333333333333	0.501436781609195	0.69978021978022	0.553571428571428	Escapee
Huwe1	0.419494928138863	0.387686958380176	0.384582797678175	0.404740691967913	0.437992204085991	Escapee
Mbtps2	0.126984126984127	0.4	0.683333333333333	0.527777777777778	0.694912930207048	Escapee
Txlng	0.0526315789473684	0.388888888888889	0.330083927510398	0.0555555555555555	0.571428571428571	Escapee
Hccs	0.476946655801416	0.394766412312051	0.590007215007215	0.38441026395118	0.387343260188088	Escapee
Ndufb11	0.389584706657877	0.723529411764706	0.692357642357642	0.756601731601732	0.470601173020528	Strain-bias
Usp11	0	0.513975155279503	1	1	0.444444444444444	Strain-bias
Ikbkg	0.833333333333333	0.582167832167832	0.537847222222222	0.811965811965812	0.352380952380952	Strain-bias
Mpp1	0.785714285714285	0.9375	0.928571428571429	0.952380952380952	0.466269841269841	Strain-bias
Eif2s3x	NA	0.982142857142857	0.723333333333333	0.427350427350427	0.433333333333334	Strain-bias
